DepartementPrincipal,Règlements de compte entre malfaireurs,Homicides pour voler et à l'occasion de vols,Homicides pour d'autres motifs,Tentatives d'homicides pour voler et à l'occasion de vols,Tentatives homicides pour d'autres motifs,Coups et blessures volontaires suivis de mort,Autres coups et blessures volontaires criminels ou correctionnels,Prises d'otages à l'occasion de vols,Prises d'otages dans un autre but,Sequestrations,Menaces ou chantages pour extorsion de fonds,Menaces ou chantages dans un autre but,Atteintes à la dignité et à la  personnalité,Violations de domicile,Vols à main armée contre des établissements financiers,Vols à main armée contre des éts industriels ou commerciaux,Vols à main armée contre des entreprises de transports de fonds,Vols à main armée contre des particuliers à leur domicile,Autres vols à main armée,"Vols avec armes blanches contre des établissements financiers,commerciaux ou industriels",Vols avec armes blanches contre des particuliers à leur domicile,Autres vols avec armes blanches,"Vols violents sans arme contre des établissements financiers,commerciaux ou industriels",Vols violents sans arme contre des particuliers à leur domicile,Vols violents sans arme contre des femmes sur voie publique ou autre lieu public,Vols violents sans arme contre d'autres victimes,Cambriolages de locaux d'habitations principales,Cambriolages de résidences secondaires,"Camb.de  locaux industriels, commerciaux ou financiers",Cambriolages d'autres lieux,Vols avec entrée par ruse en tous lieux,Vols à la tire,Vols à l'étalage,Vols de véhicules de transport avec frêt,Vols d'automobiles,Vols de véhicules motorisés à 2 roues,Vols à la roulotte,Vols d''accessoires sur véhicules à moteur immatriculés,Vols simples sur chantier,Vols simples sur exploitations agricoles,Autres vols simples contre des établissements publics ou privés,Autres vols simples contre des particuliers dans  deslocaux privés,Autres vols simples contre des particuliers dans des locaux ou lieux publics,Recels,Proxénétisme,Viols sur des majeur(e)s,Viols sur des mineur(e)s,Harcèlements sexuels et autres agressions sexuelles contre des majeur(e)s,Harcèlements sexuels et autres agressions sexuelles contre des mineur(e)s,Atteintes sexuelles,Homicides commis contre enfants de moins de 15 ans,"Violences, mauvais traitements et abandons d'enfants.",Délits au sujet de la garde des mineurs,Non versement de pension alimentaire,Trafic et revente sans usage de stupéfiants,Usage-revente de stupéfiants,Usage de stupéfiants,Autres infractions à la législation sur les stupéfiants,Délits de débits de boissons et infraction à la règlementation sur l'alcool  et le tabac,Fraudes alimentaires et infractions à l'hygiène,Autres délits contre santé publique et la réglementation des professions médicales,Incendies volontaires de biens publics,Incendies volontaires de biens privés,Attentats à l'explosif contre des biens publics,Attentats à l'explosif contre des biens privés,Autres destructions er dégradations de biens publics,Autres destructions er dégradations de biens privés,Destructions et dégradations de véhicules privés,Infractions aux conditions générales d'entrée et de séjour des étrangers,"Aide à l'entrée, à la circulation et au séjour des étrangers",Autres infractions à la police des étrangers,Outrages à dépositaires autorité,Violences à dépositaires autorité,Port ou détention armes prohibées,Atteintes aux intérêts fondamentaux de la Nation,Délits des courses et des jeux,Délits interdiction de séjour et de paraître,"Destructions, cruautés et autres délits envers les animaux",Atteintes à l'environnement,Chasse et pêche,Faux documents d'identité,Faux documents concernant la circulation des véhicules,Autres faux documents administratifs,Faux en écriture publique et authentique,Autres faux en écriture,Fausse monnaie,Contrefaçons et fraudes industrielles et commerciales,Contrefaçons littéraires et artistique,Falsification et usages de chèques volés,Falsification et usages de cartes de crédit,Escroqueries et abus de confiance,Infractions à la législation sur les chèques,Travail clandestin,Emploi d'étranger sans titre de travail,Marchandage - prêt de main d'oeuvre,"Banqueroutes, abus de biens sociaux et autres délits de société","Prix illicittes, publicité fausse et infractions aux règles de la concurrence",Achats et ventes sans factures,Infractions à l'exercice d'une profession règlementée,Infractions au droit de l'urbanisme et de la construction,Fraudes fiscales,Autres délits économiques et financiers,Autres délits,Année,Departement
01,0,0,1,0,0,0,327,0,0,6,20,132,99,16,0,1,0,0,0,0,0,1,0,4,24,50,203,21,134,127,8,123,190,0,109,31,202,117,17,0,110,90,385,156,0,11,10,16,25,3,0,62,20,23,13,40,555,4,1,1,1,18,70,0,0,58,213,172,222,123,23,122,98,80,0,0,2,6,3,0,67,24,8,3,19,6,0,0,43,81,296,7,23,27,1,3,0,0,5,1,0,8,275,2014,01
02,0,0,3,0,4,0,968,0,0,18,23,404,217,61,1,6,0,1,1,2,4,15,6,10,65,68,459,15,181,205,66,136,299,0,294,141,590,352,25,3,211,594,533,112,1,25,31,30,46,50,0,217,55,25,6,50,648,9,1,2,0,34,138,0,0,106,333,335,4,1,12,118,124,152,5,1,4,17,6,1,5,6,8,3,31,8,1,0,480,149,605,18,22,4,0,2,2,1,1,9,3,2,493,2014,02
03,0,0,0,0,3,0,439,0,0,3,25,206,90,25,3,0,0,0,0,0,1,2,0,2,52,53,330,16,62,172,28,71,226,1,115,155,339,182,29,1,129,363,678,37,0,8,7,15,18,25,0,53,57,32,10,34,438,3,0,0,0,22,47,0,0,147,330,538,2,1,0,67,82,112,1,0,4,6,4,0,6,3,7,2,24,6,1,1,169,118,583,43,6,0,0,2,3,1,1,1,0,5,221,2014,03
04,0,0,1,0,1,0,141,0,0,1,8,60,22,7,0,1,0,1,1,0,0,1,1,0,41,25,119,9,61,35,6,26,73,0,91,23,141,82,4,1,39,72,235,5,0,1,3,5,5,4,0,28,13,5,4,34,143,1,1,0,0,5,27,0,0,43,79,68,0,0,5,24,27,22,0,0,1,0,2,0,1,1,1,0,6,0,0,0,57,71,97,5,0,0,0,0,0,0,0,1,0,1,46,2014,04
05,0,0,0,0,0,0,179,0,0,3,8,63,24,4,0,0,0,0,0,2,0,1,1,1,15,27,166,7,63,126,2,37,73,0,61,71,210,69,6,1,96,255,313,30,0,3,6,6,7,10,0,34,16,6,1,12,150,0,5,0,0,11,8,0,0,51,107,76,143,39,3,26,23,40,0,0,0,4,1,0,14,11,5,4,17,7,0,0,74,38,143,3,21,24,0,2,0,0,0,3,0,1,80,2014,05
06,1,1,14,0,12,3,3834,1,0,57,177,1765,870,279,4,40,0,15,23,5,10,67,32,25,1470,1229,4932,488,687,1270,240,4346,960,1,1332,3111,4231,1515,99,5,543,1908,7753,532,16,114,48,131,40,182,2,462,290,244,102,231,2395,11,62,7,8,24,308,3,3,254,2747,2290,611,115,299,519,672,539,7,0,7,36,12,0,303,29,62,37,145,76,8,10,509,1577,3025,37,211,96,7,37,13,2,7,228,11,178,1669,2014,06
07,0,0,0,0,2,0,161,0,0,1,6,70,31,6,0,0,0,1,0,0,1,1,0,1,17,23,173,22,138,69,5,51,231,0,107,84,186,138,5,5,60,130,184,27,0,5,5,3,5,5,0,23,33,15,2,6,216,4,0,0,1,11,36,0,0,53,90,55,0,0,1,21,17,68,0,0,0,4,2,0,0,2,2,0,6,2,0,0,197,52,171,4,15,0,0,2,1,0,0,1,0,1,67,2014,07
08,1,0,0,0,1,0,357,0,0,2,17,223,88,11,0,0,0,0,1,0,1,8,3,5,26,46,154,1,87,178,11,91,157,0,150,73,210,106,23,5,103,257,433,43,0,7,16,17,14,19,0,59,29,10,10,33,313,3,0,0,0,18,127,0,0,95,232,229,0,0,1,104,100,67,0,0,4,4,3,1,3,0,2,0,15,1,0,0,248,51,189,0,7,1,0,2,1,1,5,0,0,1,115,2014,08
09,0,0,0,0,1,0,125,0,0,0,5,44,18,1,0,1,0,0,0,0,0,0,0,0,6,3,101,8,35,25,8,17,45,0,48,15,116,54,7,3,27,98,221,21,0,0,5,5,5,7,0,18,11,4,4,14,195,0,2,0,0,4,5,0,0,17,42,32,1,0,1,32,36,29,0,0,0,2,1,0,2,1,4,0,7,1,3,0,30,17,82,2,5,0,0,0,1,0,0,1,0,2,83,2014,09
10,0,0,0,0,2,0,657,0,0,12,40,228,184,25,0,9,0,1,3,1,2,9,2,6,91,115,587,15,202,207,16,214,404,0,154,184,543,243,19,1,179,518,795,77,0,12,19,26,0,21,0,152,40,16,6,20,331,1,0,0,0,13,94,0,0,43,326,241,0,0,0,57,62,97,0,0,1,10,0,0,4,2,1,0,18,11,0,0,155,144,733,7,11,1,0,1,1,0,3,1,2,4,285,2014,10
