DepartementPrincipal,Règlements de compte entre malfaireurs,Homicides pour voler et à l'occasion de vols,Homicides pour d'autres motifs,Tentatives d'homicides pour voler et à l'occasion de vols,Tentatives homicides pour d'autres motifs,Coups et blessures volontaires suivis de mort,Autres coups et blessures volontaires criminels ou correctionnels,Prises d'otages à l'occasion de vols,Prises d'otages dans un autre but,Sequestrations,Menaces ou chantages pour extorsion de fonds,Menaces ou chantages dans un autre but,Atteintes à la dignité et à la  personnalité,Violations de domicile,Vols à main armée contre des établissements financiers,Vols à main armée contre des éts industriels ou commerciaux,Vols à main armée contre des entreprises de transports de fonds,Vols à main armée contre des particuliers à leur domicile,Autres vols à main armée,"Vols avec armes blanches contre des établissements financiers,commerciaux ou industriels",Vols avec armes blanches contre des particuliers à leur domicile,Autres vols avec armes blanches,"Vols violents sans arme contre des établissements financiers,commerciaux ou industriels",Vols violents sans arme contre des particuliers à leur domicile,Vols violents sans arme contre des femmes sur voie publique ou autre lieu public,Vols violents sans arme contre d'autres victimes,Cambriolages de locaux d'habitations principales,Cambriolages de résidences secondaires,"Camb.de  locaux industriels, commerciaux ou financiers",Cambriolages d'autres lieux,Vols avec entrée par ruse en tous lieux,Vols à la tire,Vols à l'étalage,Vols de véhicules de transport avec frêt,Vols d'automobiles,Vols de véhicules motorisés à 2 roues,Vols à la roulotte,Vols d''accessoires sur véhicules à moteur immatriculés,Vols simples sur chantier,Vols simples sur exploitations agricoles,Autres vols simples contre des établissements publics ou privés,Autres vols simples contre des particuliers dans  deslocaux privés,Autres vols simples contre des particuliers dans des locaux ou lieux publics,Recels,Proxénétisme,Viols sur des majeur(e)s,Viols sur des mineur(e)s,Harcèlements sexuels et autres agressions sexuelles contre des majeur(e)s,Harcèlements sexuels et autres agressions sexuelles contre des mineur(e)s,Atteintes sexuelles,Homicides commis contre enfants de moins de 15 ans,"Violences, mauvais traitements et abandons d'enfants.",Délits au sujet de la garde des mineurs,Non versement de pension alimentaire,Trafic et revente sans usage de stupéfiants,Usage-revente de stupéfiants,Usage de stupéfiants,Autres infractions à la législation sur les stupéfiants,Délits de débits de boissons et infraction à la règlementation sur l'alcool  et le tabac,Fraudes alimentaires et infractions à l'hygiène,Autres délits contre santé publique et la réglementation des professions médicales,Incendies volontaires de biens publics,Incendies volontaires de biens privés,Attentats à l'explosif contre des biens publics,Attentats à l'explosif contre des biens privés,Autres destructions er dégradations de biens publics,Autres destructions er dégradations de biens privés,Destructions et dégradations de véhicules privés,Infractions aux conditions générales d'entrée et de séjour des étrangers,"Aide à l'entrée, à la circulation et au séjour des étrangers",Autres infractions à la police des étrangers,Outrages à dépositaires autorité,Violences à dépositaires autorité,Port ou détention armes prohibées,Atteintes aux intérêts fondamentaux de la Nation,Délits des courses et des jeux,Délits interdiction de séjour et de paraître,"Destructions, cruautés et autres délits envers les animaux",Atteintes à l'environnement,Chasse et pêche,Faux documents d'identité,Faux documents concernant la circulation des véhicules,Autres faux documents administratifs,Faux en écriture publique et authentique,Autres faux en écriture,Fausse monnaie,Contrefaçons et fraudes industrielles et commerciales,Contrefaçons littéraires et artistique,Falsification et usages de chèques volés,Falsification et usages de cartes de crédit,Escroqueries et abus de confiance,Infractions à la législation sur les chèques,Travail clandestin,Emploi d'étranger sans titre de travail,Marchandage - prêt de main d'oeuvre,"Banqueroutes, abus de biens sociaux et autres délits de société","Prix illicittes, publicité fausse et infractions aux règles de la concurrence",Achats et ventes sans factures,Infractions à l'exercice d'une profession règlementée,Infractions au droit de l'urbanisme et de la construction,Fraudes fiscales,Autres délits économiques et financiers,Autres délits,Année,Departement
01,0,0,0,0,0,0,280,0,0,2,9,106,36,3,0,9,0,1,0,1,1,5,1,0,34,32,234,3,154,96,12,77,201,0,81,40,181,141,11,0,105,263,324,87,0,6,11,9,10,10,0,40,8,15,9,31,461,11,3,0,0,8,38,0,0,76,181,272,862,130,8,73,82,57,0,0,6,4,2,0,69,30,9,7,15,9,2,0,68,87,193,9,52,46,1,1,2,0,2,0,1,15,236,2012,01
02,0,0,0,0,2,1,1124,0,0,12,25,375,181,40,0,4,0,0,3,5,0,6,1,5,85,90,581,8,204,181,26,139,449,1,345,180,495,307,21,1,200,605,823,156,0,16,29,17,56,36,0,65,78,19,8,77,734,28,4,0,1,41,197,0,0,106,441,572,80,1,5,121,128,267,4,0,0,24,5,0,3,9,5,5,15,1,22,0,544,112,513,14,36,4,0,3,0,0,0,7,0,15,482,2012,02
03,0,0,4,0,1,0,521,0,0,3,15,255,88,8,0,3,0,1,1,2,3,1,0,2,32,30,399,6,131,166,13,17,281,0,122,172,292,173,22,0,79,303,508,102,0,10,13,12,13,26,0,57,92,42,13,23,337,4,1,1,2,31,60,0,0,180,417,614,20,1,0,81,72,170,2,0,2,10,0,0,1,2,7,5,7,3,0,1,273,95,498,68,12,0,0,2,0,0,0,0,0,2,251,2012,03
04,0,0,0,0,0,0,152,0,0,3,6,59,33,3,0,5,0,1,0,2,2,6,2,0,44,27,236,23,124,72,3,32,65,0,100,47,291,140,1,4,65,48,214,17,0,5,3,2,7,11,0,14,8,21,0,18,167,0,0,0,0,5,25,0,0,8,65,89,1,0,4,23,34,54,0,1,0,2,0,0,1,0,1,2,5,1,0,0,71,95,92,21,3,1,1,1,0,0,0,1,0,0,72,2012,04
05,0,0,1,0,1,0,174,0,0,1,4,58,18,7,1,3,0,0,0,0,0,3,0,0,9,12,127,4,60,52,0,134,113,0,65,38,166,85,0,0,66,203,181,35,0,3,1,3,4,8,0,31,37,15,5,17,153,2,1,1,0,5,26,0,0,46,127,171,238,41,3,17,26,26,0,0,3,3,0,0,11,1,9,3,9,1,0,0,132,60,124,6,13,18,2,1,0,0,0,0,0,1,55,2012,05
06,2,2,13,0,16,3,3552,0,2,51,151,1560,830,247,6,39,0,8,17,12,13,115,18,9,2023,1478,4153,327,356,1764,505,4599,851,3,1616,4346,5218,1905,104,1,346,3703,9754,625,8,26,59,64,81,297,0,354,271,244,111,252,2912,39,85,33,10,25,308,0,0,233,1640,2208,2064,155,227,474,525,592,1,4,1,40,14,1,305,42,74,76,97,31,12,2,738,1619,2803,36,292,126,2,28,5,0,13,240,11,253,1380,2012,06
07,0,0,0,0,2,0,195,0,0,3,2,41,23,3,0,2,0,0,0,0,1,1,0,0,5,11,205,3,58,69,4,34,233,0,91,59,200,107,7,3,55,143,173,6,0,7,9,3,7,7,0,5,31,13,1,2,202,10,0,0,1,4,26,0,0,44,47,50,20,3,0,33,18,87,1,1,1,4,6,0,2,1,1,1,7,2,3,0,50,42,115,32,3,0,0,0,1,0,0,1,0,2,48,2012,07
08,0,0,0,0,0,0,490,0,0,1,16,216,28,12,5,2,0,0,0,2,2,3,1,3,39,40,133,5,51,111,25,46,156,0,115,99,172,118,20,0,94,261,378,44,0,5,3,15,31,28,0,5,50,21,5,73,302,6,4,0,0,15,138,0,0,118,304,483,107,1,3,115,67,122,0,0,1,5,0,0,3,5,4,0,4,11,1,0,78,19,242,1,9,2,0,1,0,0,0,0,0,3,128,2012,08
09,0,0,1,0,0,0,123,0,0,2,2,29,6,1,0,1,0,0,0,0,3,0,0,2,1,1,128,4,52,12,5,20,43,0,30,21,116,50,5,0,3,68,225,15,0,2,1,1,3,0,0,7,4,9,9,31,187,6,0,0,0,6,2,0,0,15,59,54,19,1,0,27,17,40,0,0,0,0,0,1,5,1,2,0,1,3,0,0,27,13,77,11,1,0,0,0,0,1,0,1,0,2,46,2012,09
10,0,0,2,0,3,2,613,0,0,7,22,239,100,18,0,5,0,0,2,2,1,8,1,6,87,0,542,14,182,124,5,93,479,0,146,122,417,213,35,0,177,193,730,64,2,0,18,23,44,31,0,110,45,28,4,34,277,3,2,0,4,0,75,0,0,59,247,492,47,0,0,77,93,79,3,1,0,3,3,0,4,6,5,2,25,3,3,1,174,133,342,8,13,0,0,4,2,0,1,1,0,5,205,2012,10
